INFO: game 5658 maps/multi/maze_04p_01.map : ['Dispatch', 'DrBraskBot5_2', 'solifugid1r', 'smoke_carrot']
turn 0
loadtime 5000
turntime 5000
rows 64
cols 96
turns 1500
viewradius2 77
attackradius2 5
spawnradius2 1
player_seed 2336038821133576116
ready
go

turn 1
w 0 66
w 0 67
w 0 68
w 0 69
w 0 75
w 0 76
w 0 77
w 1 66
w 1 67
w 1 68
w 1 75
w 1 76
w 1 77
w 2 66
w 2 67
w 2 69
w 2 74
w 2 76
w 17 11
w 17 12
w 17 13
w 18 10
w 18 12
w 18 18
w 19 18
w 19 19
w 20 18
w 20 19
w 20 20
w 21 19
w 21 20
w 22 18
w 22 19
w 22 20
w 22 21
w 23 5
w 23 10
w 23 11
w 23 12
w 23 13
w 23 19
w 23 20
w 23 49
w 23 50
w 24 5
w 24 10
w 24 11
w 24 12
w 24 13
w 24 19
w 24 20
w 24 21
w 24 45
w 24 46
w 24 47
w 24 48
w 24 49
w 24 50
w 24 51
w 24 52
w 24 53
w 24 58
w 24 59
w 24 60
w 24 61
w 25 5
w 25 10
w 25 11
w 25 12
w 25 18
w 25 19
w 25 20
w 25 45
w 25 46
w 25 47
w 25 48
w 25 49
w 25 50
w 25 51
w 25 52
w 25 53
w 25 59
w 25 60
w 26 11
w 26 19
w 26 20
w 26 45
w 26 46
w 26 47
w 26 48
w 26 49
w 26 50
w 26 53
w 26 58
w 27 5
w 27 18
w 27 19
w 27 20
w 27 21
w 28 5
w 28 19
w 28 20
w 29 18
w 29 19
w 29 20
w 30 19
w 30 20
w 31 11
w 31 12
w 31 13
w 31 19
w 31 50
w 31 51
w 31 52
w 31 53
w 32 10
w 32 11
w 32 12
w 32 18
w 32 51
w 32 52
w 32 53
w 32 59
w 32 60
w 33 0
w 33 1
w 33 2
w 33 11
w 33 12
w 33 13
w 33 50
w 33 51
w 33 52
w 33 53
w 33 58
w 33 59
w 33 92
w 33 93
w 33 94
w 33 95
w 34 0
w 34 1
w 34 2
w 34 3
w 34 50
w 34 51
w 34 52
w 34 91
w 34 93
w 34 94
w 34 95
w 39 2
w 39 3
w 39 6
w 39 7
w 39 90
w 39 91
w 40 3
w 40 4
w 40 5
w 40 6
w 40 7
w 40 90
w 40 91
w 40 92
w 40 93
w 41 3
w 41 4
w 41 5
w 41 6
w 41 7
w 41 90
w 41 91
w 41 92
w 41 93
w 42 4
w 42 5
w 42 7
w 42 90
w 42 93
w 44 43
w 45 10
w 45 11
w 45 12
w 45 42
w 45 43
w 45 44
w 46 10
w 46 11
w 46 12
w 46 43
w 46 44
w 46 45
w 47 3
w 47 11
w 47 12
w 47 18
w 47 19
w 47 35
w 47 36
w 47 37
w 47 43
w 47 44
w 47 45
w 47 90
w 47 91
w 47 92
w 47 93
w 48 3
w 48 4
w 48 11
w 48 12
w 48 13
w 48 19
w 48 20
w 48 34
w 48 35
w 48 36
w 48 42
w 48 43
w 48 44
w 48 45
w 48 91
w 48 92
w 48 93
w 49 2
w 49 11
w 49 12
w 49 13
w 49 18
w 49 19
w 49 20
w 49 35
w 49 36
w 49 37
w 49 42
w 49 43
w 49 44
w 49 92
w 49 93
w 50 5
w 50 11
w 50 12
w 50 13
w 50 19
w 50 21
w 50 34
w 50 35
w 50 36
w 50 42
w 50 43
w 50 45
w 51 35
w 51 36
w 52 34
w 52 35
w 52 36
w 52 37
w 53 35
w 53 36
w 54 35
w 54 36
w 54 37
w 54 68
w 54 69
w 55 13
w 55 18
w 55 19
w 55 31
w 55 32
w 55 34
w 55 35
w 55 36
w 55 37
w 55 42
w 55 43
w 55 45
w 55 67
w 55 68
w 55 74
w 56 5
w 56 10
w 56 11
w 56 12
w 56 13
w 56 18
w 56 19
w 56 20
w 56 21
w 56 31
w 56 32
w 56 33
w 56 34
w 56 35
w 56 36
w 56 43
w 56 44
w 56 67
w 56 68
w 56 69
w 56 75
